Company Name,Industry,Symbol,Series,ISIN Code
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
CESC Ltd.,Power,CESC,EQ,INE486A01021
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NCC Ltd.,Construction,NCC,EQ,INE868B01028
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023
Raymond Ltd.,Textiles,RAYMOND,EQ,INE301A01014
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
